id,code,AggIndex,SMILES,inventor,color_in_powder,patent,reference,molecular_weight,absorption,emission_sol,emission_solid,emission_aggr,emission_crys,qy_sol,qy_solid,qy_aggr,qy_crys,tau_sol,tau_solid,tau_aggr,tau_crys,features_id,mechanism_id,photostability,solubility_carbohyd,solubility_dmsodmf,solubility_enol,solubility_halogen,solubility_mecnacetone,solubility_thfea,solubility_toluene,solubility_water,corresponding_author,molar_aggr,molar_crys,molar_sol,molar_solid,thermostability,report_year,application1,application2,application3,application4,pka,comment,doi,tested_solvent
1047,DPA3c,,IC1=CC=C(Br)C=C1C2=C(C=CC(Br)=C3)C3=C(C4=CC=CC=C4)C5=C2C=CC=C5,XUE Miaomiao,yellow,,"Asian J. Org. Chem. 2012, 1, 331–335",614.1,403,,,,,,,,,,,,,AIE,other,,,,0,1,,1,,0,"ZHAO Zujin, TANG Ben Zhong",,,,,,2012,,,,,,,10.1002/ajoc.201200111,THF
1048,TPPE,,C(/C1=CC=C(C2=CC=C(/C(C3=CC=CC=C3)=C(C4=CC=CC=C4)/C5=CC=CC=C5)C=C2)C=C1)(C6=CC=C(C(C=C7)=CC=C7/C(C8=CC=CC=C8)=C(C9=CC=CC=C9)/C%10=CC=CC=C%10)C=C6)=C(C%11=CC=C(C(C=C%12)=CC=C%12/C(C%13=CC=CC=C%13)=C(C%14=CC=CC=C%14)\C%15=CC=CC=C%15)C=C%11)/C%16=CC=C(C(C=C%17)=CC=C%17/C(C%18=CC=CC=C%18)=C(C%19=CC=CC=C%19)\C%20=CC=CC=C%20)C=C%16,CHANG Zhengfeng,yellow,,"Chem. Commun., 2013, 49, 594--596",1654,342,520,510,,,3.4,97,,,,,,,AIE,other,,,,0,1,,,,0,"ZHAO Zujin, TANG Ben Zhong",,,,,1,2013,OLED,,,,,,10.1039/c2cc37928g,"1,4-Dioxane"
1049,TPE-4SF,,C(/C1=CC=C(C2=CC=C(C(C=CC=C3)=C3C45C6=CC=CC=C6C7=C5C=CC=C7)C4=C2)C=C1)(C8=CC=C(C9=CC=C(C(C=CC=C%10)=C%10C%11%12C%13=CC=CC=C%13C%14=C%12C=CC=C%14)C%11=C9)C=C8)=C(C%15=CC=C(C%16=CC=C(C(C=CC=C%17)=C%17C%18%19C%20=CC=CC=C%20C%21=C%19C=CC=C%21)C%18=C%16)C=C%15)/C%22=CC=C(C%23=CC=C(C(C=CC=C%24)=C%24C%25%26C%27=CC=CC=C%27C%28=C%26C=CC=C%28)C%25=C%23)C=C%22,CHANG Zhengfeng,yellow,,"Chem. Commun., 2013, 49, 594--596",1590,372,528,521,,,2.9,93,,,,,,,AIE,other,1,,,0,1,,,,0,"ZHAO Zujin, TANG Ben Zhong",,,,,1,2013,OLED,,,,,,10.1039/c2cc37928g,"1,4-Dioxane"
1050,DPPM-DMAC,,O=C(C1=CC2=C(N=C(C(C=C3)=C(C4=C5)C=C3N(C6=CC=CC=C6C7(C)C)C8=C7C=CC=C8)C(C4=CC=C5N9C%10=CC=CC=C%10C(C)(C)C%11=C9C=CC=C%11)=N2)C=C1)C%12=CC=CC=C%12,JIANG Ruming,orange,,"Adv. Sci. 2021, 2104435",798,456,682,,,,1,,,,,,,,AIE,ICT,1,,,0,1,1,1,1,0,ZHAO Zujin,,,,,1,2021,OLED,,,,,,10.1002/advs.202104435,THF
1051,TPE-4TPA,,C(/C1=CC=C(C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)C=C1)(C5=CC=C(C(C=C6)=CC=C6N(C7=CC=CC=C7)C8=CC=CC=C8)C=C5)=C(C9=CC=C(C(C=C%10)=CC=C%10N(C%11=CC=CC=C%11)C%12=CC=CC=C%12)C=C9)/C%13=CC=C(C(C=C%14)=CC=C%14N(C%15=CC=CC=C%15)C%16=CC=CC=C%16)C=C%13,CHANG Zhengfeng,yellow,,"Chem. Commun., 2013, 49, 594--596",1305,353,530,522,,,3,99,,,,,,,AIE,other,1,,,0,1,,,,0,"ZHAO Zujin, TANG Ben Zhong",,,,,1,2013,OLED,,,,,,10.1039/c2cc37928g,"1,4-Dioxane"
1052,DPPM-DPAC,,O=C(C1=CC2=C(N=C(C(C=C3)=C(C4=C5)C=C3N(C6=CC=CC=C6C7(C8=CC=CC=C8)C9=CC=CC=C9)C%10=C7C=CC=C%10)C(C4=CC=C5N%11C%12=CC=CC=C%12C(C%13=CC=CC=C%13)(C%14=CC=CC=C%14)C%15=C%11C=CC=C%15)=N2)C=C1)C%16=CC=CC=C%16,JIANG Ruming,orange,,"Adv. Sci. 2021, 2104435",1046,442,656,,,,3,,,,,,,,AIE,ICT,1,,,0,1,1,1,1,0,ZHAO Zujin,,,,,1,2021,OLED,,,,,,10.1002/advs.202104435,THF
1053,DPPM-SFAC,,O=C(C1=CC2=C(N=C(C(C=C3)=C(C4=C5)C=C3N(C6=CC=CC=C6C7(C8=CC=CC=C89)C%10=C9C=CC=C%10)C%11=C7C=CC=C%11)C(C4=CC=C5N%12C%13=CC=CC=C%13C(C%14=C%15C=CC=C%14)(C%16=CC=CC=C%16%15)C%17=C%12C=CC=C%17)=N2)C=C1)C%18=CC=CC=C%18,JIANG Ruming,orange,,"Adv. Sci. 2021, 2104435",1042,446,656,,,,1,,,,,,,,AIE,ICT,1,,,0,1,1,1,1,0,ZHAO Zujin,,,,,1,2021,OLED,,,,,,10.1002/advs.202104435,THF
1054,DPPM-SXAC,,O=C(C1=CC2=C(N=C(C(C=C3)=C(C4=C5)C=C3N(C6=CC=CC=C6C7(C8=CC=CC=C8O9)C%10=C9C=CC=C%10)C%11=C7C=CC=C%11)C(C4=CC=C5N%12C%13=CC=CC=C%13C(C%14=C%15C=CC=C%14)(C%16=CC=CC=C%16O%15)C%17=C%12C=CC=C%17)=N2)C=C1)C%18=CC=CC=C%18,JIANG Ruming,orange,,"Adv. Sci. 2021, 2104435",1074,445,658,,,,4,,,,,,,,AIE,ICT,1,,,0,1,1,1,1,0,ZHAO Zujin,,,,,1,2021,OLED,,,,,,10.1002/advs.202104435,THF
1055,DPPM-STAC,,O=C(C1=CC2=C(N=C(C(C=C3)=C(C4=C5)C=C3N(C6=CC=CC=C6C7(C8=CC=CC=C8S9)C%10=C9C=CC=C%10)C%11=C7C=CC=C%11)C(C4=CC=C5N%12C%13=CC=CC=C%13C(C%14=C%15C=CC=C%14)(C%16=CC=CC=C%16S%15)C%17=C%12C=CC=C%17)=N2)C=C1)C%18=CC=CC=C%18,JIANG Ruming,orange,,"Adv. Sci. 2021, 2104435",1106,445,655,,,,4,,,,,,,,AIE,ICT,1,,,0,1,1,1,1,0,ZHAO Zujin,,,,,1,2021,OLED,,,,,,10.1002/advs.202104435,THF
1056,(Z)-o-BBPTPE,,c1(c2ccccc2c(C3=CC=CC=C3)=C(C4=CC=CC=C4)c5ccccc5c6ccc(c7ccccc7)cc6)ccc(c8ccccc8)cc1,HE Bairong,white,ZL201510006784.3,"Org. Lett. 2015, 17, 6174−6177",636,280,492,472,472,454,32,61,,,7,,,,AIE,neutral aromatic,1,,,0,1,,1,1,0,"ZHAO Zujin, TANG Ben Zhong",,,35000,,1,2015,,,,,,,10.1021/acs.orglett.5b03152,THF
1057,f-3Ph,,c1(c2ccc(c3ccccc3)cc2c(C4=CC=CC=C4)=C(C5=CC=CC=C5)c6cc(c7ccccc7)ccc6c8ccccc8)ccccc1,HE Bairong,white,ZL201510006784.3,"Org. Lett. 2015, 17, 6174−6178",636,275,489,471,474,464,30,35,,,6.5,,,,AIE,neutral aromatic,1,,,0,1,,1,1,0,"ZHAO Zujin, TANG Ben Zhong",,,46000,,1,2015,,,,,,,10.1021/acs.orglett.5b03152,THF
1058,f-3Ph(Me),,Cc1ccc(c2c(C(C3=CC=CC=C3)=c(C4=CC=CC=C4)c5c(c6ccc(C)cc6)ccc(c7ccc(C)cc7)c5)cc(c8ccc(C)cc8)cc2)cc1,HE Bairong,white,ZL201510006784.3,"Org. Lett. 2015, 17, 6174−6179",692,282,492,470,482,451,32,37,,,8,,,,AIE,neutral aromatic,1,,,0,1,,1,1,0,"ZHAO Zujin, TANG Ben Zhong",,,62000,,1,2015,,,,,,,10.1021/acs.orglett.5b03152,THF
1059,f-4Ph,,c1(c2ccc(c3ccccc3)cc2c(C4=CC=CC=C4)=C(C5=CC=CC=C5)c6cc(c7ccccc7)ccc6c8ccc(c9ccccc9)cc8)ccc(c%10ccccc%10)cc1,HE Bairong,white,ZL201510006784.3,"Org. Lett. 2015, 17, 6174−6180",788,291,494,478,,463,38,57,,,7.9,,,,AIE,neutral aromatic,1,,,0,1,,1,1,0,"ZHAO Zujin, TANG Ben Zhong",,,76000,,1,2015,,,,,,,10.1021/acs.orglett.5b03152,THF
1060,f-4Ph(Me),,Cc1ccc(c2ccc(c3c(C(C4=CC=CC=C4)=c(C5=CC=CC=C5)c6c(c7ccc(c8ccc(C)cc8)cc7)ccc(c9ccc(C)cc9)c6)cc(c%10ccc(C)cc%10)cc3)cc2)cc1,HE Bairong,white,ZL201510006784.3,"Org. Lett. 2015, 17, 6174−6181",844,295,498,478,,463,30,58,,,8.6,,,,AIE,neutral aromatic,1,,,0,1,,1,1,0,"ZHAO Zujin, TANG Ben Zhong",,,76000,,1,2015,,,,,,,10.1021/acs.orglett.5b03152,THF
1061,f-5Ph,,c1(c2ccc(c3ccc(c4ccccc4)cc3)cc2c(C5=CC=CC=C5)=C(C6=CC=CC=C6)c7cc(c8ccc(c9ccccc9)cc8)ccc7c%10ccc(c%11ccccc%11)cc%10)ccc(c%12ccccc%12)cc1,HE Bairong,white,ZL201510006784.3,"Org. Lett. 2015, 17, 6174−6182",940,302,496,471,,,32,52,,,8.2,,,,AIE,neutral aromatic,1,,,0,1,,1,1,0,"ZHAO Zujin, TANG Ben Zhong",,,100006,,1,2015,,,,,,,10.1021/acs.orglett.5b03152,THF
1062,f-5Ph(Me),,Cc1ccc(c2ccc(c3ccc(c4ccc(c5ccc(C)cc5)cc4)c(C(C6=CC=CC=C6)=c(C7=CC=CC=C7)c8c(c9ccc(c%10ccc(C)cc%10)cc9)ccc(c%11ccc(c%12ccc(C)cc%12)cc%11)c8)c3)cc2)cc1,HE Bairong,white,ZL201510006784.3,"Org. Lett. 2015, 17, 6174−6183",996,308,498,470,,,30,67,,,8.5,,,,AIE,neutral aromatic,1,,,0,1,,1,1,0,"ZHAO Zujin, TANG Ben Zhong",,,,,1,2015,,,,,,,10.1021/acs.orglett.5b03152,THF
1063,o-TPEPh,,c1(/C(c2ccccc2c3ccccc3)=C(c4ccccc4)\c5ccccc5)ccccc1,HE Bairong,white,,"Org. Chem. Front. 2016, 3, 1091–1095",408,313,,466,466,445,1.9,55,,,0.88,,,,AIE,neutral aromatic,1,,,0,1,,1,1,0,"ZHAO Zujin, TANG Ben Zhong",,,12000,,1,2016,,,,,,,10.1039/c6qo00204h,THF
1064,o-2-TPENp,,c1(/C(c2ccccc2c3cc4ccccc4cc3)=C(c5ccccc5)\c6ccccc6)ccccc1,HE Bairong,white,,"Org. Chem. Front. 2016, 3, 1091–1095",458,287,,467,468,425,2.1,56,,,0.78,,,,AIE,neutral aromatic,1,,,0,1,,1,1,0,"ZHAO Zujin, TANG Ben Zhong",,,16000,,1,2016,,,,,,,10.1039/c6qo00204h,THF
1065,o-TPEAn,,c1(cc2ccccc2c3c4c(/C(c5ccccc5)=C(c6ccccc6)\c7ccccc7)cccc4)c3cccc1,HE Bairong,white,,"Org. Chem. Front. 2016, 3, 1091–1095",508,391,,501,504,432,4.6,61,,,0.94,,,,AIE,neutral aromatic,1,,,0,1,,1,1,0,"ZHAO Zujin, TANG Ben Zhong",,,7400,,1,2016,,,,,,,10.1039/c6qo00204h,THF
1066,o-TPEPa,,c1(/C(c2c(c3cc4c(c5c3cccc5)cccc4)cccc2)=C(c6ccccc6)/c7ccccc7)ccccc1,HE Bairong,white,,"Org. Chem. Front. 2016, 3, 1091–1095",508,303,,472,473,465,0.8,54,,,3.6,,,,AIE,neutral aromatic,1,,,0,1,,1,1,0,"ZHAO Zujin, TANG Ben Zhong",,,18000,,1,2016,,,,,,,10.1039/c6qo00204h,THF
1067,o-TPEPy,,c1(/C(c2c(c3ccc4c5c3ccc6cccc(cc4)c56)cccc2)=C(c7ccccc7)/c8ccccc8)ccccc1,HE Bairong,white,,"Org. Chem. Front. 2016, 3, 1091–1095",532,350,,484,490,424,3.3,68,,,9.73,,,,AIE,neutral aromatic,1,,,0,1,,1,1,0,"ZHAO Zujin, TANG Ben Zhong",,,29000,,1,2016,,,,,,,10.1039/c6qo00204h,THF
1068,f-TPEF,,CC(C1=C2C=CC=C1)(C)C3=C2C=CC(c4ccc(c5ccccc5c(C6=CC=CC=C6)=C(c7ccccc7c8ccc(C9=CC(C(C)(C)C%10=C%11C=CC=C%10)=C%11C=C9)cc8)C%12=CC=CC=C%12)cc4)=C3,HE Bairong,white,,"J. Mater. Chem. C 2017, 5, 12553–12560",868,318,493,460,473,,23,49,,,7.16,5.68,,,AIE,neutral aromatic,1,,,0,1,,1,1,0,"ZHAO Zujin, TANG Ben Zhong",,,98000,,1,2017,,,,,,,10.1039/c7tc04626j,THF
1069,f-TPEC,,C(c1c(c2ccc(C3=CC(C(C=CC=C4)=C4N5C6=CC=CC=C6)=C5C=C3)cc2)cccc1)(C7=CC=CC=C7)=c(C8=CC=CC=C8)c9c(c%10ccc(C%11=CC(C(C=CC=C%12)=C%12N%13C%14=CC=CC=C%14)=C%13C=C%11)cc%10)cccc9,HE Bairong,white,,"J. Mater. Chem. C 2017, 5, 12553–12560",966,301,494,468,472,,24,51,,,7.97,7.73,,,AIE,neutral aromatic,1,,,0,1,,1,1,0,"ZHAO Zujin, TANG Ben Zhong",,,97000,,1,2017,,,,,,,10.1039/c7tc04626j,THF
1070,f-TPEI,,C(c1ccccc1c2ccc(C(C=C3)=CC=C3C4=NC5=CC=CC=C5N4C6=CC=CC=C6)cc2)(C7=CC=CC=C7)=c(C8=CC=CC=C8)c9c(c%10ccc(C(C=C%11)=CC=C%11C%12=NC%13=CC=CC=C%13N%12C%14=CC=CC=C%14)cc%10)cccc9,HE Bairong,white,,"J. Mater. Chem. C 2017, 5, 12553–12560",1020,319,488,467,407,,25,54,,,7.25,8.28,,,AIE,neutral aromatic,1,,,0,1,,1,1,0,"ZHAO Zujin, TANG Ben Zhong",,,70001,,1,2017,,,,,,,10.1039/c7tc04626j,THF
1071,f-TPEB,,CC1=CC(C)=CC(C)=C1B(C2=C(C)C=C(C)C=C2C)C3=CC=C(C=C3)c4ccc(c5c(C(C6=CC=CC=C6)=c(C7=CC=CC=C7)c8c(c9ccc(C%10=CC=C(B(C%11=C(C)C=C(C)C=C%11C)C%12=C(C)C=C(C)C=C%12C)C=C%10)cc9)cccc8)cccc5)cc4,HE Bairong,white,,"J. Mater. Chem. C 2017, 5, 12553–12560",1133,334,481,468,469,,33,49,,,7.16,7.21,,,AIE,neutral aromatic,1,0,,0,1,,1,1,0,"ZHAO Zujin, TANG Ben Zhong",,,80000,,1,2017,,,,,,,10.1039/c7tc04626j,THF
1072,l-TPEB,,CC1=CC(C)=CC(C)=C1B(C2=C(C)C=C(C)C=C2C)C3=CC=C(C=C3)C(C=C4)=CC=C4C(C=C5)=CC=C5/C(C6=CC=CC=C6)=C(C7=CC=C(C8=CC=C(C9=CC=C(B(C%10=C(C)C=C(C)C=C%10C)C%11=C(C)C=C(C)C=C%11C)C=C9)C=C8)C=C7)\C%12=CC=CC=C%12,HE Bairong,yellow,,"J. Mater. Chem. C 2017, 5, 12553–12560",1133,344,407,495,497,,2,80,,,1.23,2.78,,,AIE,neutral aromatic,1,,,0,1,,1,1,0,"ZHAO Zujin, TANG Ben Zhong",,,91000,,1,2017,,,,,,,10.1039/c7tc04626j,THF
1073,(TPE)2PF,,C12=C(C=C(C3=CC=C(/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)/C6=CC=CC=C6)C=C3)C=C2)C(C7=CC=CC=C7)(C8=CC=CC=C8)C9=C1C=CC(C%10=CC=C(/C(C%11=CC=CC=C%11)=C(C%12=CC=CC=C%12)\C%13=CC=CC=C%13)C=C%10)=C9,HE Bairong,white,,Dyes Pigments 106 (2014) 87–93,978,359,,491,498,,0.4,96,,,,,,,AIE,neutral aromatic,1,,,0,1,,1,1,0,"ZHOU Jian, ZHAO Zujin, TANG Ben Zhong",,,,,1,2014,OLED,Piezochromic,,,,,10.1016/j.dyepig.2014.02.026,THF
1074,TPE(PF)2,,C12=C(C=C(C3=CC=C(/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)/C6=CC=C(C(C=C7)=CC8=C7C(C=CC=C9)=C9C8(C%10=CC=CC=C%10)C%11=CC=CC=C%11)C=C6)C=C3)C=C2)C(C%12=CC=CC=C%12)(C%13=CC=CC=C%13)C%14=C1C=CC=C%14,HE Bairong,white,,Dyes Pigments 106 (2014) 87–93,964,349,,498,502,,1.1,95,,,,,,,AIE,neutral aromatic,1,,,0,1,,1,1,0,"ZHOU Jian, ZHAO Zujin, TANG Ben Zhong",,,,,1,2014,OLED,,,,,,10.1016/j.dyepig.2014.02.026,THF
1075,(TPE)2SF,,C12=C(C=C(C3=CC=C(/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)/C6=CC=CC=C6)C=C3)C=C2)C7(C8=C(C=CC=C8)C9=C7C=CC=C9)C%10=C1C=CC(C%11=CC=C(/C(C%12=CC=CC=C%12)=C(C%13=CC=CC=C%13)\C%14=CC=CC=C%14)C=C%11)=C%10,HE Bairong,white,,Dyes Pigments 106 (2014) 87–93,976,358,,495,496,,0.5,69,,,,,,,AIE,neutral aromatic,1,,,0,1,,1,1,0,"ZHOU Jian, ZHAO Zujin, TANG Ben Zhong",,,,,1,2014,OLED,,,,,,10.1016/j.dyepig.2014.02.026,THF
1076,TPE(SF)2,,C12=C(C=C(C3=CC=C(/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)/C6=CC=C(C(C=C7)=CC8=C7C(C=CC=C9)=C9C8%10C%11=C(C=CC=C%11)C%12=C%10C=CC=C%12)C=C6)C=C3)C=C2)C%13(C%14=C(C=CC=C%14)C%15=C%13C=CC=C%15)C%16=C1C=CC=C%16,HE Bairong,white,,Dyes Pigments 106 (2014) 87–93,960,347,,502,503,,1.7,99,,,,,,,AIE,neutral aromatic,1,,,1,1,,1,1,0,"ZHOU Jian, ZHAO Zujin, TANG Ben Zhong",,,,,1,2014,OLED,,,,,,10.1016/j.dyepig.2014.02.026,THF
1077,a,,C[Si]1(C2=CC=CC=C2)C(C#C[Si](C)(C)C)=C(C3=CC=CC=C3)C(C4=CC=CC=C4)=C1C#C[Si](C)(C)C,Zujin Zhao,,,"Chem. Commun., 2010, 46, 686–688",516,397,486,,,,,,,,,,,,AIE,other,1,,1,,1,,1,1,0,TANG Ben Zhong,,,,,1,2019,,,,,,,10.1039/b915271g,THF
1078,b,,C[Si]1(C2=CC=CC=C2)C(C#C[Si](CC)(CC)CC)=C(C3=CC=CC=C3)C(C4=CC=CC=C4)=C1C#C[Si](CC)(CC)CC,Zujin Zhao,,,"Angew. Chem. Int. Ed. 2009, 48, 7608 –7611",601,398,486,,,,,,,,,,,,AIE,ESIPT,1,,1,,1,,1,1,0,TANG Ben Zhong,,,,,1,2009,,,,,,,10.1002/anie.200903698,THF
1079,c,,C[Si]1(C2=CC=CC=C2)C(C#C[Si](C(C)C)(C(C)C)C(C)C)=C(C3=CC=CC=C3)C(C4=CC=CC=C4)=C1C#C[Si](C(C)C)(C(C)C)C(C)C,Zujin Zhao,,,"Angew. Chem. Int. Ed. 2009, 48, 7608 –7611",685,399,488,,,,,,,,,,,,AIE,other,1,,1,,1,,1,1,0,TANG Ben Zhong,,,,,1,2009,,,,,,,10.1002/anie.200903698,THF
1080,5-BTDMS,,C[Si]1(C)C(C2=CC(C=CS3)=C3C=C2)=C(C4=CC=CC=C4)C(C5=CC=CC=C5)=C1C6=CC=C(C=CS7)C7=C6,Han Nie,,,"Chem. Eur. J. 2015, 21, 8137 – 8147",526,370,488,494,,,0.8,60.4,,,,,,,AIE,ESIPT,1,,1,,1,,1,1,0,"Zujin Zhao, and Ben Zhong Tang",,,,,1,2015,,,,,,,10.1002/chem.201500002,THF
1081,2-BTDMS,,C1=CC=CC=C1,Han Nie,,,"Chem. Eur. J. 2015, 21, 8137 – 8147",588,432,522,541,,,4.5,5.4,,,,,,,AIE,other,1,,1,1,1,,1,1,0,"Zujin Zhao,and Ben Zhong Tang",,,,,1,,,,,,,,10.1002/chem.201500002,THF
1082,5-BTMPS,,C[Si]1(C2=CC=CC=C2)C(C3C=C4C(C=CC=C4)S3)=C(C5=CC=CC=C5)C(C6=CC=CC=C6)=C1C7SC8C(C=CC=C8)=C7,Han Nie,,,"Chem. Eur. J. 2015, 21, 8137 – 8147",530,375,499,502,,,1.2,53,,,,,,,AIE,other,1,,1,,1,,1,1,0," Zujin Zhao, and Ben Zhong Tang",,,,,1,2015,,,,,,,10.1002/chem.201500002,THF
1083,2-BTMPS,,C[Si]1(C2=CC=CC=C2)C(C3C=C4C(C=CC=C4)S3)=C(C5=CC=CC=C5)C(C6=CC=CC=C6)=C1C7SC8C(C=CC=C8)=C7,Han Nie,,,"Chem. Eur. J. 2015, 21, 8137 – 8147",592,437,522,552,,,6.5,8.5,,,,,,,AIE,other,1,,1,,1,,1,1,0,"Zujin Zhao, and Ben Zhong Tang",,,,,1,2015,,,,,,,10.1002/chem.201500002,THF
1084,(PBI)2DMTPS,,C[Si]1(C)C(C2=CC=C(C3[N](C4=CC=CC=C4)=C5C(C=CC=C5)=N3)C=C2)=C(C6=CC=CC=C6)C(C7=CC=CC=C7)=C1C8=CC=C(C9N=C%10C(C=CC=C%10)=[N]9C%11=CC=CC=C%11)C=C8,Han Nie,,,"J. Mater. Chem. C, 2018, 6, 3690--3698",801,511,511,521,,,3.4,62.1,,,,,,,AIE,other,1,,1,,1,,1,1,0,Zujin Zhao and Ben Zhong Tang,,,,,1,2018,,,,,,,10.1039/c7tc05062c,THF
1085,(PBI)2MPPS,,C[Si]1(C2=CC=CC=C2)C(C3=CC=C(C4[N](C5=CC=CC=C5)=C6C(C=CC=C6)=N4)C=C3)=C(C7=CC=CC=C7)C(C8=CC=CC=C8)=C1C9=CC=C(C%10N=C%11C(C=CC=C%11)=[N]%10C%12=CC=CC=C%12)C=C9,"Han Nie,",,,"J. Mater. Chem. C, 2018, 6, 3690--3698",863,516,516,523,,,3.2,58.7,,,,,,,AIE,ESIPT,1,,1,,1,,1,1,0,Zujin Zhao and Ben Zhong Tang,,,,,1,2018,,,,,,,10.1039/d1qm00880c,THF
1086,(PPI)2DMTPS,,C[Si]1(C)C(C2=CC=C(C3[N](C4=CC=CC=C4)=C5C(C(C=CC=C6)=C6C7=C5C=CC=C7)=N3)C=C2)=C(C8=CC=CC=C8)C(C9=CC=CC=C9)=C1C%10=CC=C(C%11N=C%12C(C(C=CC=C%13)=C%13C%14=C%12C=CC=C%14)=[N]%11C%15=CC=CC=C%15)C=C%10,Han Nie,,,"J. Mater. Chem. C, 2018, 6, 3690--3698",1001,519,519,534,,,13.8,49.5,,,,,,,AIE,ESIPT,1,,1,,1,,1,1,0,Zujin Zhao  and Ben Zhong Tang,,,,,1,2018,,,,,,,10.1039/d1qm00880c,THF
1087,CZBP,,O=C(C1=CC=CC=C1)C(C=C2)=CC=C2N(C3=CC=CC=C34)C5=C4C=CC=C5,GONG Yongyang,white,,"Adv. Mater., 2015, 27, 6195-6201",347.42,340,449,,,436,1.25,,,13.7,,,,3.52,RTP,other,,,1,,1,,1,1,,YUAN Wang Zhang,,,,,,2015,,,,,,,10.1002/adma.201502442,THF
1088,(PPI)2MPPS,,C[Si]1(C2=CC=CC=C2)C(C3=CC=C(C4[N](C5=CC=CC=C5)=C6C(C(C=CC=C7)=C7C8=C6C=CC=C8)=N4)C=C3)=C(C9=CC=CC=C9)C(C%10=CC=CC=C%10)=C1C%11=CC=C(C%12N=C%13C(C(C=CC=C%14)=C%14C%15=C%13C=CC=C%15)=[N]%12C%16=CC=CC=C%16)C=C%11,Han Nie,,,"J. Mater. Chem. C, 2018, 6, 3690--3698",1063,520,520,536,,,14.5,50.5,,,,,,,AIE,other,1,,1,,1,,1,1,0,Zujin Zhao  and Ben Zhong Tang,,,,,1,,,,,,,,10.1039/c7tc05062c,THF
1089,BCZBP,,O=C(C1=CC=CC=C1)C(C=C2)=CC=C2N(C3=CC=C(Br)C=C34)C5=C4C=CC=C5,GONG Yongyang,white,,"Adv. Mater., 2015, 27, 6195-6201",426.31,297,419,,,,1.12,,,2.5,,,,0.53,RTP,other,,,1,,1,,1,1,,YUAN Wang Zhang,,,,,,2015,,,,,,,10.1002/adma.201502442,THF
1090,DBCZBP,,O=C(C1=CC=CC=C1)C(C=C2)=CC=C2N(C3=CC=C(Br)C=C34)C5=C4C=C(Br)C=C5,GONG Yongyang,white,,"Adv. Mater., 2015, 27, 6195-6201",505.21,302,416,,,,1.06,,,8.6,,,,0.64,RTP,ESIPT,,,1,,1,,1,1,,YUAN Wang Zhang,,,,,,2015,,,,,,,10.1002/adma.201502442,THF
1091,(Z)-o-BCaPTPE,,C1(/C(C2=CC=CC=C2C3=CC=C(N4C(C=CC=C5)=C5C6=C4C=CC=C6)C=C3)=C(C7=C(C8=CC=C(N9C(C=CC=C%10)=C%10C%11=C9C=CC=C%11)C=C8)C=CC=C7)\C%12=CC=CC=C%12)=CC=CC=C1,ZHAO Zujin,white,,"Adv.Mater.2011, 23, 5430–5435",814.33,298,497,477,,456,43,100,,,4.7,,,,AIE,ICT,1,,,0,1,,1,,0,TANG Ben Zhong,,,,,1,2011,OLED,,,,,, 10.1002/adma.201102804 ,THF
1092,(Z)-o-BTPATPE,,C1(/C(C2=CC=CC=C2C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)=C(C6=C(C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7)C=CC=C6)\C%10=CC=CC=C%10)=CC=CC=C1,ZHAO Zujin,yellow,,"Adv.Mater.2011, 23, 5430–5435",818.37,310,510,490,,457,38,85,,,2.7,,,,AIE,ICT,1,,,0,1,,1,,0,TANG Ben Zhong,,,,,1,2011,OLED,,,,,, 10.1002/adma.201102804 ,THF
1093,p-BCaPTPE,,C1(/C(C2=CC=C(C3=CC=C(N4C(C=CC=C5)=C5C6=C4C=CC=C6)C=C3)C=C2)=C(C7=CC=C(C8=CC=C(N9C(C=CC=C%10)=C%10C%11=C9C=CC=C%11)C=C8)C=C7)/C%12=CC=CC=C%12)=CC=CC=C1,ZHAO Zujin,white,,"Adv.Mater.2011, 23, 5430–5435",814.33,299,498,487,,,0.5,100,,,0.062,,,,AIE,ICT,1,,,0,1,,1,,0,TANG Ben Zhong,,,,,1,2011,OLED,,,,,,10.1002/adma.201102804,THF
1094,m2Cz-TAn-CN,,CC(C)C1=CC2=C(C=C1)C(C3=CC=C(C#N)C=C3)=C4C(C=CC(C(C)C)=C4)=C2C5=CC(N6C7=C(C=CC=C7)C8C6C=CC=C8)=CC(N9C%10=C(C=CC=C%10)C%11=C9C=CC=C%11)=C5,"Zilong Wu, Shaoxin Song,",,,"Mater. Chem. Front., 2021, 5, 6978–6986",772,394,398,454,,,80.1,40.5,,,,,,,AIE,other,1,,1,,1,,1,1,0,Zujin Zhao  and Ben Zhong Tang,,,,,1,2021,,,,,,,10.1039/d1qm00880c,THF
